time_of_day,location_type,incidents,streetlights,police_patrol,crowd_level,distance_from_home,risk_level
morning,rural,0,no,low,medium,4.75,Medium
night,isolated,2,no,high,low,0.54,Medium
evening,isolated,3,yes,medium,low,4.87,Medium
afternoon,rural,5,no,high,medium,1.05,Low
night,rural,2,no,medium,low,3.43,High
night,urban,3,yes,high,low,3.1,Medium
morning,urban,0,yes,high,medium,1.72,Low
morning,rural,6,yes,medium,medium,3.63,Medium
night,urban,0,no,medium,high,0.78,Medium
evening,urban,9,no,low,high,3.74,High
night,urban,10,yes,low,medium,4.71,High
evening,urban,1,no,high,medium,4.83,Medium
night,isolated,7,no,high,low,0.91,High
evening,rural,5,yes,medium,high,2.62,Low
evening,rural,10,yes,low,low,4.46,High
night,isolated,6,no,high,high,1.01,Medium
evening,urban,9,yes,high,medium,3.81,Medium
afternoon,rural,0,no,medium,low,3.42,Medium
evening,isolated,1,no,high,high,0.76,Low
morning,isolated,9,no,low,medium,4.97,High
morning,urban,5,yes,low,high,1.97,Low
afternoon,urban,7,no,low,high,3.17,High
evening,isolated,6,yes,high,medium,1.83,Low
night,urban,0,no,high,high,0.55,Medium
afternoon,urban,4,no,high,medium,2.04,Medium
afternoon,urban,6,yes,low,low,3.26,High
afternoon,urban,3,no,high,medium,2.58,Low
afternoon,urban,9,no,low,medium,0.39,High
afternoon,urban,8,no,high,high,1.79,Low
morning,isolated,10,no,medium,medium,3.13,High
morning,rural,4,yes,medium,low,4.94,Medium
morning,urban,3,no,low,medium,0.94,Medium
night,isolated,4,yes,medium,low,1.93,Medium
morning,isolated,2,yes,medium,medium,2.63,Low
evening,isolated,2,no,low,high,4.3,Medium
evening,rural,10,yes,high,medium,3.26,Medium
morning,isolated,1,no,medium,high,1.24,Low
afternoon,isolated,5,yes,medium,high,4.34,Low
night,urban,6,yes,high,high,2.13,Medium
night,isolated,7,yes,medium,high,3.57,High
night,isolated,9,no,low,medium,1.41,High
afternoon,isolated,1,no,medium,medium,2.48,Medium
night,urban,4,yes,low,low,0.63,High
morning,urban,3,no,medium,medium,1.34,Low
morning,rural,10,no,medium,medium,2.89,High
night,isolated,2,no,low,low,0.54,High
afternoon,rural,5,no,high,low,4.02,Medium
night,rural,4,no,low,low,2.49,High
